epoch,train_loss,val_balanced_accuracy_at_0p5
1,0.552368698961302,0.7343096516176585
2,0.5433473245806841,0.7322461429056958
3,0.5411552335637081,0.7350169948574221
4,0.5403593511453008,0.7383933929063525
5,0.5396921042149765,0.7346769821252171
6,0.5395771310813462,0.7358768276006568
7,0.53797955722635,0.735238894014873
8,0.5388367454045988,0.7371948799523156
9,0.5387197911116564,0.7367834735227614
10,0.5383893940635499,0.7367808164107922
11,0.5374851883975524,0.737030234157474
12,0.5371521793998679,0.7365940657236769
13,0.5361047778964126,0.7381156873239673
14,0.5370089002970979,0.7383280805342652
15,0.5366968353153365,0.7346589207631448
16,0.5369922596579273,0.7371592115664805
17,0.536092480318612,0.7360289260613634
18,0.5355278603090273,0.736973007553085
19,0.5360954236984239,0.7345874690910955
20,0.536202619416064,0.7358329366723583
21,0.5362697384013828,0.7360038824148427
22,0.5360680710985192,0.7399155176754544
23,0.5361690275054671,0.7387522674183945
24,0.5362914309002629,0.7363833883568386
